"Research that uses data from D-PLACE should cite both the original source(s) of the data and the paper by Kirby et al. in which D-PLACE was first presented (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001); Binford and Johnson (2006); Kirby et al. 2016)."" The reference list should include the date data were accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001), Binford and Johnson (2006), and Kirby et al. 2016."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,eHRAF name,eHRAF code,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Focal Year: B004 Subsistence economy: Most important activity,Code: B004 Subsistence economy: Most important activity,Description: B004 Subsistence economy: Most important activity,Comment: B004 Subsistence economy: Most important activity,Subcase: B004 Subsistence economy: Most important activity,References: B004 Subsistence economy: Most important activity,Focal Year: B037 Ownership of resource locations ,Code: B037 Ownership of resource locations ,Description: B037 Ownership of resource locations ,Comment: B037 Ownership of resource locations ,Subcase: B037 Ownership of resource locations ,References: B037 Ownership of resource locations ,Focal Year: B031 Type of social class distinction,Code: B031 Type of social class distinction,Description: B031 Type of social class distinction,Comment: B031 Type of social class distinction,Subcase: B031 Type of social class distinction,References: B031 Type of social class distinction
Binford Hunter-Gatherer,Mlabri,B16,xd909,Mrabri (B16),,,18.41,100.47,18.41,100.47,mlab1235,Mlabri,mra,Austroasiatic,1963,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Bernatzik (1951); Flatz (1963); Nimmanahaeminda and Hartland-Swam (1962); Pookajorn (1985); Pookajorn (1988); Trier (1981); Velder (1963),1963,1,"No ownership reported, use rights recognized by others",,,Bernatzik (1951); Flatz (1963); Nimmanahaeminda and Hartland-Swam (1962); Pookajorn (1985); Pookajorn (1988); Trier (1981); Velder (1963),1963,1,Absence of any significant class distinctions,,,Bernatzik (1951); Flatz (1963); Nimmanahaeminda and Hartland-Swam (1962); Pookajorn (1985); Pookajorn (1988); Trier (1981); Velder (1963)
Binford Hunter-Gatherer,Northern Saulteaux,B332,xd1049,North Saulteaux (B332),Ojibwa,NG06,52.28,-96.78,52.28,-96.78,alba1270,Albany River Ojibwa,,Algic,1870,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Bishop (1969); Bishop (1978); Grant (1924); Hallowell (1938); Hallowell (1955); Skinner (1911),1870,1,"No ownership reported, use rights recognized by others",,,Bishop (1969); Bishop (1978); Grant (1924); Hallowell (1938); Hallowell (1955); Skinner (1911),1870,1,Absence of any significant class distinctions,,,Bishop (1969); Bishop (1978); Grant (1924); Hallowell (1938); Hallowell (1955); Skinner (1911)
Binford Hunter-Gatherer,Yana,B174,xd1109,Northern Yana (B174),,,40.38,-122.89,40.38,-122.89,yana1271,Yana,ynn,Yana,1860,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Gifford (1926b); Waterman (1918),1860,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Gifford (1926b); Waterman (1918),1860,2,Wealth distinctions only,,,Gifford (1926b); Waterman (1918)
Binford Hunter-Gatherer,Sarcee,B260,xd1226,Sarsi (B260),,,53.15,-111.04,53.15,-111.04,sars1236,Sarsi,srs,Athapaskan-Eyak-Tlingit,1880,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Bamforth (1988); Jenness (1938),1880,1,"No ownership reported, use rights recognized by others",,,Bamforth (1988); Jenness (1938),1880,1,Absence of any significant class distinctions,,,Bamforth (1988); Jenness (1938)
Binford Hunter-Gatherer,Tareumiut,B389,xd1036,Tareumiut Inuit (B389),,,71.24,-156.78,71.32,-156.78,nort2944,North Slope Inupiatun,,Eskimo-Aleut,1880,3,Majority of a group's nutritional intake comes from aquatic resources,,,Burch (1975); Ray (1885); Roberts (1953); Seltzer (1933); Simpson (1875); Spencer (1959),1880,1,"No ownership reported, use rights recognized by others",,,Burch (1975); Ray (1885); Roberts (1953); Seltzer (1933); Simpson (1875); Spencer (1959),1880,2,Wealth distinctions only,,,Burch (1975); Ray (1885); Roberts (1953); Seltzer (1933); Simpson (1875); Spencer (1959)
Binford Hunter-Gatherer,Mikea,B66,xd928,Mikea (B66),,,-22.32,43.81,-22.32,43.81,masi1268,Masikoro Malagasy,msh,Austronesian,NA,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Kelly and Poyer (1993),NA,1,"No ownership reported, use rights recognized by others",,,Kelly and Poyer (1993),NA,1,Absence of any significant class distinctions,,,Kelly and Poyer (1993)
Binford Hunter-Gatherer,Railroad Valley Shoshoni,B217,xd1171,Railroad Valley Shoshoni (B217),Western,NT22,38.33,-115.78,38.33,-115.78,west2622,Western Shoshoni,,Uto-Aztecan,1860,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Steward (1938),1860,1,"No ownership reported, use rights recognized by others",,,Steward (1938),1860,1,Absence of any significant class distinctions,,,Steward (1938)
Binford Hunter-Gatherer,Tasmanians (northwestern),B137,xd783,Tasmanians (western) (B137),Tasmanians,OI19,-41.38,145.21,-41.38,145.21,port1278,Port Sorell,,Western Tasmanian,1830,3,Majority of a group's nutritional intake comes from aquatic resources,,,Hiatt (1967); Jones (1971); Jones (1972),1830,1,"No ownership reported, use rights recognized by others",,,Hiatt (1967); Jones (1971); Jones (1972),1830,1,Absence of any significant class distinctions,,,Hiatt (1967); Jones (1971); Jones (1972)
Binford Hunter-Gatherer,Patwin,B155,xd1121,Patwin (B155),,,39.08,-122.05,39.08,-122.05,patw1250,Patwin,pwi,Wintuan,1850,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Barrett (1908); Gifford (1926b); Johnson (1978); Kroeber (1932),1850,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Barrett (1908); Gifford (1926b); Johnson (1978); Kroeber (1932),1850,2,Wealth distinctions only,,,Barrett (1908); Gifford (1926b); Johnson (1978); Kroeber (1932)
Binford Hunter-Gatherer,Kobuk Inuit,B370,xd1015,Kobuk Inuit (B370),,,66.95,-156.94,66.95,-156.94,kobu1239,Kobuk River Inupiatun,,Eskimo-Aleut,1890,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Burch (1975); Foote (1966); Giddings (1956); Giddings pers. comm. (1963),1890,1,"No ownership reported, use rights recognized by others",,,Burch (1975); Foote (1966); Giddings (1956); Giddings pers. comm. (1963),1890,1,Absence of any significant class distinctions,,,Burch (1975); Foote (1966); Giddings (1956); Giddings pers. comm. (1963)
Binford Hunter-Gatherer,Northern Foothills Yokuts,B154,xd1129,Yokuts (northern foothill) (B154),Yokuts,NS29,37.44,-120.44,37.44,-120.44,nort2937,Northern Foothill Yokuts,,Yokutsan,1850,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Cook (1955); Gayton (1948a); Gifford (1926b); Spier (1978),1850,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Cook (1955); Gayton (1948a); Gifford (1926b); Spier (1978),1850,2,Wealth distinctions only,,,Cook (1955); Gayton (1948a); Gifford (1926b); Spier (1978)
Binford Hunter-Gatherer,Punan,B1,xd1442,Punan (B1),,,3.0,114.0,3.0,114.0,west2563,Western Penan,pne,Austronesian,1970,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Avadhani (1975); Brosius (1986); Harrison (1949); Kedit (1982); Oldrey (1975); Sellato (1994); Urquhart (1951),1970,1,"No ownership reported, use rights recognized by others",,,Avadhani (1975); Brosius (1986); Harrison (1949); Kedit (1982); Oldrey (1975); Sellato (1994); Urquhart (1951),1970,1,Absence of any significant class distinctions,,,Avadhani (1975); Brosius (1986); Harrison (1949); Kedit (1982); Oldrey (1975); Sellato (1994); Urquhart (1951)
Binford Hunter-Gatherer,Naron,B73,xd7,Nharo (B73),,,-21.64,21.61,-21.64,21.61,naro1249,Naro,nhr,Khoe-Kwadi,1910,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Bleek (1928); Guenther (1986); Hitchcock and Ebert (1989); Schapera (1930); Tobias (1962),1910,1,"No ownership reported, use rights recognized by others",,,Bleek (1928); Guenther (1986); Hitchcock and Ebert (1989); Schapera (1930); Tobias (1962),1910,1,Absence of any significant class distinctions,,,Bleek (1928); Guenther (1986); Hitchcock and Ebert (1989); Schapera (1930); Tobias (1962)
Binford Hunter-Gatherer,Antarianunts,B201,xd1184,Antarianunts Southern Paiute (B201),,,37.86,-110.72,37.86,-110.72,utee1244,Ute,,Uto-Aztecan,1860,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Kelly (1964); Kelly and Fowler (1986),1860,1,"No ownership reported, use rights recognized by others",,,Kelly (1964); Kelly and Fowler (1986),1860,1,Absence of any significant class distinctions,,,Kelly (1964); Kelly and Fowler (1986)
Binford Hunter-Gatherer,!Ko,B76,xd934,!Ko (B76),,,-23.86,22.2,-23.86,22.2,huaa1248,East Taa,nmn,Tuu,1968,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Eibl-Eibesfeldt (1948); Eibl-Eibesfeldt (1972); Hitchcock and Ebert (1989); Hitchcock pers. comm. (1990),1968,1,"No ownership reported, use rights recognized by others",,,Eibl-Eibesfeldt (1948); Eibl-Eibesfeldt (1972); Hitchcock and Ebert (1989); Hitchcock pers. comm. (1990),1968,1,Absence of any significant class distinctions,,,Eibl-Eibesfeldt (1948); Eibl-Eibesfeldt (1972); Hitchcock and Ebert (1989); Hitchcock pers. comm. (1990)
Binford Hunter-Gatherer,Assiniboine,B257,xd1210,Assiniboine (B257),Assiniboine,NF04,49.49,-102.43,49.49,-102.43,assi1247,Assiniboine,asb,Siouan,1870,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Bushnell (1922); Culbertson (1952); Denig (1930); Lowrie and Clarke (1832),1870,1,"No ownership reported, use rights recognized by others",,,Bushnell (1922); Culbertson (1952); Denig (1930); Lowrie and Clarke (1832),1870,1,Absence of any significant class distinctions,,,Bushnell (1922); Culbertson (1952); Denig (1930); Lowrie and Clarke (1832)
Binford Hunter-Gatherer,Sirionó,B43,xd1362,Siriono (B43),Siriono,SF21,-15.0,-63.58,-15.0,-63.58,siri1273,Sirionó,srq,Tupian,1940,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Holmberg (1950),1940,1,"No ownership reported, use rights recognized by others",,,Holmberg (1950),1940,1,Absence of any significant class distinctions,,,Holmberg (1950)
Binford Hunter-Gatherer,Pintubi,B113,xd960,Pintubi (B113),,,-22.86,129.44,-22.86,129.44,pint1250,Pintupi-Luritja,piu,Pama-Nyungan,1936,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Campbell et al. (1936); Gargett and Hayden (1991); Hayden pers. comm. (1990); Hayden pers. comm. (1992); Long (1970); Long (1971); Meggitt (1962); Myers (1986); Peterson and Long (1986),1936,1,"No ownership reported, use rights recognized by others",,,Campbell et al. (1936); Gargett and Hayden (1991); Hayden pers. comm. (1990); Hayden pers. comm. (1992); Long (1970); Long (1971); Meggitt (1962); Myers (1986); Peterson and Long (1986),1936,1,Absence of any significant class distinctions,,,Campbell et al. (1936); Gargett and Hayden (1991); Hayden pers. comm. (1990); Hayden pers. comm. (1992); Long (1970); Long (1971); Meggitt (1962); Myers (1986); Peterson and Long (1986)
Binford Hunter-Gatherer,Coos,B275,xd1081,Coos (B275),,,43.43,-124.11,43.43,-124.11,coos1249,Hanis,csz,Coosan,1860,3,Majority of a group's nutritional intake comes from aquatic resources,,,Boyd (1990); Zenk (1990),1860,4,Elite ownership of land and resources,,,Boyd (1990); Zenk (1990),1860,2,Wealth distinctions only,,,Boyd (1990); Zenk (1990)
Binford Hunter-Gatherer,Teton,B249,xd1227,Teton Sioux (Lakota) (B249),,,44.5,-102.27,44.5,-102.27,lako1247,Lakota,lkt,Siouan,1870,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Bushnell (1922); Culbertson (1952); Sullivan (1920),1870,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Bushnell (1922); Culbertson (1952); Sullivan (1920),1870,2,Wealth distinctions only,,,Bushnell (1922); Culbertson (1952); Sullivan (1920)
Binford Hunter-Gatherer,Nisenan,B163,xd1111,Nisenan (B163),,,39.03,-121.15,39.03,-121.15,nise1244,Nisenan,nsz,Maiduan,1850,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Cook and Heizer (1965); Faye (1923); Kroeber (1929); Wilson and Towne (1978),1850,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Cook and Heizer (1965); Faye (1923); Kroeber (1929); Wilson and Towne (1978),1850,2,Wealth distinctions only,,,Cook and Heizer (1965); Faye (1923); Kroeber (1929); Wilson and Towne (1978)
Binford Hunter-Gatherer,"Yolngu, Dhuwal",B88,xd777,Murngin (B88),Murngin,OI17,-12.93,135.84,-12.93,135.84,dhuw1249,Dhuwal,duj,Pama-Nyungan,1930,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Howells (1937); Long (1970); Peterson (1976); Peterson and Long (1986); Thomson (1949); Tindale pers. comm. (1967); Warner (1958),1930,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Howells (1937); Long (1970); Peterson (1976); Peterson and Long (1986); Thomson (1949); Tindale pers. comm. (1967); Warner (1958),1930,1,Absence of any significant class distinctions,,,Howells (1937); Long (1970); Peterson (1976); Peterson and Long (1986); Thomson (1949); Tindale pers. comm. (1967); Warner (1958)
Binford Hunter-Gatherer,Eastern Ojibwa,B327,xd1055,Kitchibaun Ojibwa (B327),Ojibwa,NG06,45.21,-85.1,45.21,-85.1,east2542,Eastern Ojibwa,ojg,Algic,1870,3,Majority of a group's nutritional intake comes from aquatic resources,,,Jenness (1935); Quimby (1962),1870,4,Elite ownership of land and resources,,,Jenness (1935); Quimby (1962),1870,1,Absence of any significant class distinctions,,,Jenness (1935); Quimby (1962)
Binford Hunter-Gatherer,Tukudika,B232,xd1181,Sheep Eater Shoshoni (B232),,,45.17,-113.84,45.17,-113.84,nort2955,Northern Shoshoni,,Uto-Aztecan,1860,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Boas (1899); Steward (1938),1860,1,"No ownership reported, use rights recognized by others",,,Boas (1899); Steward (1938),1860,1,Absence of any significant class distinctions,,,Boas (1899); Steward (1938)
Binford Hunter-Gatherer,Kiliwa,B146,xd1134,Kiliwa (B146),,,31.44,-115.25,31.44,-115.25,kili1268,Kiliwa,klb,Cochimi-Yuman,1880,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Meigs (1939),1880,1,"No ownership reported, use rights recognized by others",,,Meigs (1939),1880,1,Absence of any significant class distinctions,,,Meigs (1939)
Binford Hunter-Gatherer,Serrano,B149,xd1130,Serrano (B149),,,34.52,-117.0,34.52,-117.0,serr1255,Serrano,ser,Uto-Aztecan,1870,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Benedict (1924); Gifford (1926b); Kroeber (1925a),1870,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Benedict (1924); Gifford (1926b); Kroeber (1925a),1870,2,Wealth distinctions only,,,Benedict (1924); Gifford (1926b); Kroeber (1925a)
Binford Hunter-Gatherer,Héta,B49,xd921,Heta (B49),,,-23.52,-53.68,-23.52,-53.68,xeta1241,Xetá,xet,Tupian,1954,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Kozak et al. (1979),1954,1,"No ownership reported, use rights recognized by others",,,Kozak et al. (1979),1954,1,Absence of any significant class distinctions,,,Kozak et al. (1979)
Binford Hunter-Gatherer,Tümpisa Shoshone (Panamint),B195,xd1166,Panamint Shoshoni (B195),Western,NT22,36.37,-117.33,36.37,-117.33,pana1305,Panamint,par,Uto-Aztecan,1850,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Steward (1938),1850,1,"No ownership reported, use rights recognized by others",,,Steward (1938),1850,1,Absence of any significant class distinctions,,,Steward (1938)
Binford Hunter-Gatherer,Kainai,B259,xd1212,Blood (B259),Blackfoot,NF06,52.79,-113.86,52.79,-113.86,bloo1239,Blood,,Algic,1850,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Bamforth (1988); Ewers (1955),1850,1,"No ownership reported, use rights recognized by others",,,Bamforth (1988); Ewers (1955),1850,2,Wealth distinctions only,,,Bamforth (1988); Ewers (1955)
Binford Hunter-Gatherer,Shuswap,B333,xd1143,Shuswap (B333),,,53.41,-119.53,53.41,-119.53,shus1248,Shuswap,shs,Salishan,1850,3,Majority of a group's nutritional intake comes from aquatic resources,,,Chamberlain (1892); Dawson (1891); Teit (1900); Teit (1905),1850,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Chamberlain (1892); Dawson (1891); Teit (1900); Teit (1905),1850,2,Wealth distinctions only,,,Chamberlain (1892); Dawson (1891); Teit (1900); Teit (1905)
Binford Hunter-Gatherer,Netsilik,B387,xd1060,Netsilik Inuit (B387),,,71.46,-94.93,71.46,-94.93,nets1241,Netsilik,,Eskimo-Aleut,1880,3,Majority of a group's nutritional intake comes from aquatic resources,,,Balikci (1970); Boas (1907); M'Clintock (1860); Rae (1850); Rasmussen (1931); Ross (1835); Savelle (1987); Van der Steenhoven (1959),1880,1,"No ownership reported, use rights recognized by others",,,Balikci (1970); Boas (1907); M'Clintock (1860); Rae (1850); Rasmussen (1931); Ross (1835); Savelle (1987); Van der Steenhoven (1959),1880,1,Absence of any significant class distinctions,,,Balikci (1970); Boas (1907); M'Clintock (1860); Rae (1850); Rasmussen (1931); Ross (1835); Savelle (1987); Van der Steenhoven (1959)
Binford Hunter-Gatherer,Hän,B351,xd1008,Han (B351),,,64.79,-141.2,64.79,-141.2,hann1241,Han,haa,Athapaskan-Eyak-Tlingit,1880,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Adney (1900); Crow and Obley (1981),1880,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Adney (1900); Crow and Obley (1981),1880,2,Wealth distinctions only,,,Adney (1900); Crow and Obley (1981)
Binford Hunter-Gatherer,Atsugewi,B183,xd1135,Atsugewi (B183),,,40.75,-121.12,40.75,-121.12,atsu1245,Atsugewi,atw,Palaihnihan,1860,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Gifford (1926b),1860,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Gifford (1926b),1860,2,Wealth distinctions only,,,Gifford (1926b)
Binford Hunter-Gatherer,Alsea,B269,xd1088,Alsea (B269),,,44.42,-123.84,44.42,-123.84,alse1251,Alsea-Yaquina,aes,Alsea-Yaquina,1860,3,Majority of a group's nutritional intake comes from aquatic resources,,,Boas (1891a); Drucker (1939),1860,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Boas (1891a); Drucker (1939),1860,2,Wealth distinctions only,,,Boas (1891a); Drucker (1939)
Binford Hunter-Gatherer,Onge,B5,xd902,Onge (B5),,,10.7,92.47,10.7,92.47,onge1236,Önge,oon,Jarawa-Onge,1952,3,Majority of a group's nutritional intake comes from aquatic resources,,,Bose (1964); Cooper (1991); Heine-Geldern and Hoehn-Gerlachstein (1958); Man (1883); Sen (1962); Temple (1903),1952,1,"No ownership reported, use rights recognized by others",,,Bose (1964); Cooper (1991); Heine-Geldern and Hoehn-Gerlachstein (1958); Man (1883); Sen (1962); Temple (1903),1952,1,Absence of any significant class distinctions,,,Bose (1964); Cooper (1991); Heine-Geldern and Hoehn-Gerlachstein (1958); Man (1883); Sen (1962); Temple (1903)
Binford Hunter-Gatherer,Gros Ventre,B253,xd1208,Gros-Ventre (B253),Gros Ventre,NQ13,48.12,-105.6,48.12,-105.6,gros1243,Gros Ventre,ats,Algic,1870,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Bamforth (1988); Culbertson (1952); Ewers (1955); Flannery (1953); Swanton (1952),1870,1,"No ownership reported, use rights recognized by others",,,Bamforth (1988); Culbertson (1952); Ewers (1955); Flannery (1953); Swanton (1952),1870,2,Wealth distinctions only,,,Bamforth (1988); Culbertson (1952); Ewers (1955); Flannery (1953); Swanton (1952)
Binford Hunter-Gatherer,Yahgan,B55,xd1383,Yaghan (B55),Yahgan,SH06,-55.02,-68.98,-60.0,-68.66,yama1264,Yámana,yag,Yámana,1870,3,Majority of a group's nutritional intake comes from aquatic resources,,,Cooper (1946a); Gusinde (1937a); Lothrop (1928),1870,1,"No ownership reported, use rights recognized by others",,,Cooper (1946a); Gusinde (1937a); Lothrop (1928),1870,1,Absence of any significant class distinctions,,,Cooper (1946a); Gusinde (1937a); Lothrop (1928)
Binford Hunter-Gatherer,Délįne,B358,xd1033,Satudene-Bear Lake (B358),,,65.75,-122.89,65.75,-122.89,nort2942,North Slavey,scs,Athapaskan-Eyak-Tlingit,1860,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Hooper (1853); MacKenzie (1966); Rushforth (1977),1860,1,"No ownership reported, use rights recognized by others",,,Hooper (1853); MacKenzie (1966); Rushforth (1977),1860,1,Absence of any significant class distinctions,,,Hooper (1853); MacKenzie (1966); Rushforth (1977)
Binford Hunter-Gatherer,Takelma,B176,xd1091,Tekelma (B176),,,42.44,-123.48,42.44,-123.48,take1257,Takelma,tkm,Takelma,1860,3,Majority of a group's nutritional intake comes from aquatic resources,,,Gray (1987),1860,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Gray (1987),1860,2,Wealth distinctions only,,,Gray (1987)
